period_state,period,period_start_date,state,g_search_score,album_event,album_id,album_release_date,album_release_day,periods_from_release,us_search_avg,us_peak_search,global_search_avg,global_peak_search
"2006/10/11-2006/10/23, South Dakota",2006/10/11-2006/10/23,2006-10-11,South Dakota,39,Debut,DEBUT,2006-10-24,Tuesday,-1,78,2006-10-23,79,2006-10-23
"2006/10/11-2006/10/23, Tennessee",2006/10/11-2006/10/23,2006-10-11,Tennessee,12,Debut,DEBUT,2006-10-24,Tuesday,-1,78,2006-10-23,79,2006-10-23
"2006/10/11-2006/10/23, Texas",2006/10/11-2006/10/23,2006-10-11,Texas,8,Debut,DEBUT,2006-10-24,Tuesday,-1,78,2006-10-23,79,2006-10-23
"2006/10/11-2006/10/23, Utah",2006/10/11-2006/10/23,2006-10-11,Utah,0,Debut,DEBUT,2006-10-24,Tuesday,-1,78,2006-10-23,79,2006-10-23
"2006/10/11-2006/10/23, Vermont",2006/10/11-2006/10/23,2006-10-11,Vermont,0,Debut,DEBUT,2006-10-24,Tuesday,-1,78,2006-10-23,79,2006-10-23
"2006/10/11-2006/10/23, Virginia",2006/10/11-2006/10/23,2006-10-11,Virginia,9,Debut,DEBUT,2006-10-24,Tuesday,-1,78,2006-10-23,79,2006-10-23
"2006/10/11-2006/10/23, Washington",2006/10/11-2006/10/23,2006-10-11,Washington,4,Debut,DEBUT,2006-10-24,Tuesday,-1,78,2006-10-23,79,2006-10-23
"2006/10/11-2006/10/23, West Virginia",2006/10/11-2006/10/23,2006-10-11,West Virginia,0,Debut,DEBUT,2006-10-24,Tuesday,-1,78,2006-10-23,79,2006-10-23
"2006/10/11-2006/10/23, Wisconsin",2006/10/11-2006/10/23,2006-10-11,Wisconsin,15,Debut,DEBUT,2006-10-24,Tuesday,-1,78,2006-10-23,79,2006-10-23
"2006/10/11-2006/10/23, Wyoming",2006/10/11-2006/10/23,2006-10-11,Wyoming,31,Debut,DEBUT,2006-10-24,Tuesday,-1,78,2006-10-23,79,2006-10-23
"2006/10/24-2006/11/05, Alabama",2006/10/24-2006/11/05,2006-10-24,Alabama,0,Debut,DEBUT,2006-10-24,Tuesday,0,65,2006-10-29,69,2006-10-29
"2006/10/24-2006/11/05, Alaska",2006/10/24-2006/11/05,2006-10-24,Alaska,0,Debut,DEBUT,2006-10-24,Tuesday,0,65,2006-10-29,69,2006-10-29
"2006/10/24-2006/11/05, Arizona",2006/10/24-2006/11/05,2006-10-24,Arizona,31,Debut,DEBUT,2006-10-24,Tuesday,0,65,2006-10-29,69,2006-10-29
"2006/10/24-2006/11/05, Arkansas",2006/10/24-2006/11/05,2006-10-24,Arkansas,50,Debut,DEBUT,2006-10-24,Tuesday,0,65,2006-10-29,69,2006-10-29
"2006/10/24-2006/11/05, California",2006/10/24-2006/11/05,2006-10-24,California,11,Debut,DEBUT,2006-10-24,Tuesday,0,65,2006-10-29,69,2006-10-29
"2006/10/24-2006/11/05, Colorado",2006/10/24-2006/11/05,2006-10-24,Colorado,28,Debut,DEBUT,2006-10-24,Tuesday,0,65,2006-10-29,69,2006-10-29
"2006/10/24-2006/11/05, Connecticut",2006/10/24-2006/11/05,2006-10-24,Connecticut,0,Debut,DEBUT,2006-10-24,Tuesday,0,65,2006-10-29,69,2006-10-29
"2006/10/24-2006/11/05, Delaware",2006/10/24-2006/11/05,2006-10-24,Delaware,0,Debut,DEBUT,2006-10-24,Tuesday,0,65,2006-10-29,69,2006-10-29
"2006/10/24-2006/11/05, District of Columbia",2006/10/24-2006/11/05,2006-10-24,District of Columbia,7,Debut,DEBUT,2006-10-24,Tuesday,0,65,2006-10-29,69,2006-10-29
"2006/10/24-2006/11/05, Florida",2006/10/24-2006/11/05,2006-10-24,Florida,16,Debut,DEBUT,2006-10-24,Tuesday,0,65,2006-10-29,69,2006-10-29
"2006/10/24-2006/11/05, Georgia",2006/10/24-2006/11/05,2006-10-24,Georgia,28,Debut,DEBUT,2006-10-24,Tuesday,0,65,2006-10-29,69,2006-10-29
"2006/10/24-2006/11/05, Hawaii",2006/10/24-2006/11/05,2006-10-24,Hawaii,0,Debut,DEBUT,2006-10-24,Tuesday,0,65,2006-10-29,69,2006-10-29
"2006/10/24-2006/11/05, Idaho",2006/10/24-2006/11/05,2006-10-24,Idaho,61,Debut,DEBUT,2006-10-24,Tuesday,0,65,2006-10-29,69,2006-10-29
"2006/10/24-2006/11/05, Illinois",2006/10/24-2006/11/05,2006-10-24,Illinois,19,Debut,DEBUT,2006-10-24,Tuesday,0,65,2006-10-29,69,2006-10-29
"2006/10/24-2006/11/05, Indiana",2006/10/24-2006/11/05,2006-10-24,Indiana,13,Debut,DEBUT,2006-10-24,Tuesday,0,65,2006-10-29,69,2006-10-29
"2006/10/24-2006/11/05, Iowa",2006/10/24-2006/11/05,2006-10-24,Iowa,0,Debut,DEBUT,2006-10-24,Tuesday,0,65,2006-10-29,69,2006-10-29
"2006/10/24-2006/11/05, Kansas",2006/10/24-2006/11/05,2006-10-24,Kansas,29,Debut,DEBUT,2006-10-24,Tuesday,0,65,2006-10-29,69,2006-10-29
"2006/10/24-2006/11/05, Kentucky",2006/10/24-2006/11/05,2006-10-24,Kentucky,43,Debut,DEBUT,2006-10-24,Tuesday,0,65,2006-10-29,69,2006-10-29
"2006/10/24-2006/11/05, Louisiana",2006/10/24-2006/11/05,2006-10-24,Louisiana,43,Debut,DEBUT,2006-10-24,Tuesday,0,65,2006-10-29,69,2006-10-29
"2006/10/24-2006/11/05, Maine",2006/10/24-2006/11/05,2006-10-24,Maine,57,Debut,DEBUT,2006-10-24,Tuesday,0,65,2006-10-29,69,2006-10-29
"2006/10/24-2006/11/05, Maryland",2006/10/24-2006/11/05,2006-10-24,Maryland,10,Debut,DEBUT,2006-10-24,Tuesday,0,65,2006-10-29,69,2006-10-29
"2006/10/24-2006/11/05, Massachusetts",2006/10/24-2006/11/05,2006-10-24,Massachusetts,24,Debut,DEBUT,2006-10-24,Tuesday,0,65,2006-10-29,69,2006-10-29
"2006/10/24-2006/11/05, Michigan",2006/10/24-2006/11/05,2006-10-24,Michigan,29,Debut,DEBUT,2006-10-24,Tuesday,0,65,2006-10-29,69,2006-10-29
"2006/10/24-2006/11/05, Minnesota",2006/10/24-2006/11/05,2006-10-24,Minnesota,17,Debut,DEBUT,2006-10-24,Tuesday,0,65,2006-10-29,69,2006-10-29
"2006/10/24-2006/11/05, Mississippi",2006/10/24-2006/11/05,2006-10-24,Mississippi,0,Debut,DEBUT,2006-10-24,Tuesday,0,65,2006-10-29,69,2006-10-29
"2006/10/24-2006/11/05, Missouri",2006/10/24-2006/11/05,2006-10-24,Missouri,18,Debut,DEBUT,2006-10-24,Tuesday,0,65,2006-10-29,69,2006-10-29
